,text,sentiment_score,sentiment_category
0,cdc currently report death general discrepancy death count different source small explicable death toll stand roughly people today,-6.0,negative
1,state reported death small rise last tuesday southern state reported death http co yasgrtt ux,-3.0,negative
2,politically correct woman almost us pandemic excuse reuse plastic bag http co thf gunfpe coronavirus nashville,-1.0,negative
3,indiafightscorona covid testing laboratory india th august test done profbhargava dg icmrdelhi staysafe indiawillwin http co yh zxknnhz,0.0,neutral
4,populous state generate large case count look new case per million today smaller state showing case per million california texas al ar id k ky la m nv sc http co pyw cwras,0.0,neutral
5,covid act found average person illinois covid infecting people data show infection growth rate declined time factor stay home order restriction put place http co hhigdd fe,-4.0,negative
6,tested positive covid symptom stay home away people learn cdc recommendation around others covid infection http co z kkxpqkyb http co pamy rxaf,0.0,neutral
7,obama call trump coronavirus response chaotic disaster http co dedqzehasb,-4.0,negative
8,clearly obama administration leave kind game plan something like,4.0,positive
9,retraction hydroxychloroquine chloroquine without macrolide treatment covid multinational registry analysis lancet http co l v x g,0.0,neutral
10,take simple daily precaution help prevent spread respiratory illness like covid learn protect coronavirus covid http co uargztrh l http co biztxtukyk,2.0,positive
11,nba poised restart month march reported utah jazz got coronavirus test matter hour time u testing sluggish http co yjjrnoth http co nk gpyos,-3.0,negative
12,announced first participant age cohort dosed phase study mrna vaccine mrna novel coronavirus read http co woplkz bzc mrna http co vguoju c,2.0,positive
13,coronavirusupdates indiafightscorona lakh test done rd successive day cumulative testing date reached covid test per million tpm cross,1.0,positive
14,protect others covid using public transportation practice social distancing avoid touching surface practice hand hygiene learn http co vhhd ufv http co ysee vxv,0.0,neutral
15,august till total covid positive case covid related death manipur covid covid covid india covidupdates coronaupdates corona coronavirus coronavirusindia coronavirusupdates coronaviruspandemic http co au kzachgh,0.0,neutral
16,donald trump negligence incompetence people died nearly million case covid million american work yet patting back unbelievable,-6.0,negative
17,indiafightscorona india continues scale new peak covid test lakh sample tested daily consecutive day country achieved level high daily testing pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive,0.0,neutral
18,announced shipped vial mrna company vaccine novel coronavirus nih used planned phase study u http co jnarqekghr http co eoayeqh,2.0,positive
19,multiple facebook post claim aussie fined found talking conspiracy post included screenshot segment australian breakfast television show evidence claim,-3.0,negative
20,nobel prize laureate tasuku honjo say coronavirus natural post facebook claim fact professor honjo said greatly saddened name used spread misinformation latest coronacheck http co rlctuiciho http co wdooccixfu,-3.0,negative
21,nz covid tracker app remain important useful alert level people encouraged download app similar one keep record going,5.0,positive
22,breaking news president cryill ramaphosa asked foreign nation depart south africa june due increasing case covid,0.0,neutral
23,delighted high upper middle country economy confirmed participate covax facility number growing urge yet joined th september drtedros covid,4.0,positive
24,intriguing possibility mood change anxiety may function invasion coronavirus cns brain http co q kwqjmfrt,-3.0,negative
25,elon musck new baby get job kid http co bc ai christmas covid elonmusk achristmascarol,0.0,neutral
26,new alcohol free sanitizer developed dedan kimathi university kenya,1.0,positive
27,appendix b gathering state order testing huge chunk work go appendix evaluation accessibility cdc data tracker,1.0,positive
28,yesterday laboratory completed test testing people managed isolation quarantine routine testing either day stay brings total number test completed date,0.0,neutral
29,reusing n mask nih found vaporized hydrogen peroxide uv light heat effective sanitizers http co rgfweslrv coronavirus http co lz iamdpzg,2.0,positive
30,realdonaldtrump shifted focus different moment coronavirusoutbreak updated running timeline response virus http co pgxjssarcb reply u recent trump moment think belong running list http co g wycppdso,0.0,neutral
31,doctored image president donald trump shared claiming asked people chant hare krishna hare rama,1.0,positive
32,fourthofjuly weekend choose spend time outdoors event gathering stay ft apart wear cloth face cover slow spread covid learn http co c f aoumld http co u ttl,0.0,neutral
33,cdc recommends mother stop breastfeeding boost vaccine efficacy,2.0,positive
34,singapore airline haults flight due coronavirus outbreak http co anhxhm dpk,-2.0,negative
35,florida governor ron desantis botch covid response banning corona beer order flatten pandemic curve,0.0,neutral
36,apologise government ekiti state error remain committed improving quality control process ensure accurate transparent reporting case http co c ypex khe,3.0,positive
37,nyt invented video doctor fighting coronavirus hospital,-2.0,negative
38,may break k case day today south alone reported http co fgcegi v,-2.0,negative
39,alert american coronavirus symptom asked cough directly onto president trump,-1.0,negative
40,launched covid solidarity response fund far mobilized individual company philanthropy addition mobilized billion member state generous support country drtedros http co xgpkpdvn r,9.0,positive
41,football player cristiano ronaldo turned hotel hospital help coronavirus patient paying doctor staff,2.0,positive
42,including testing asymptomatic worker involved managed isolation quarantine airport border staff part wider surveillance measure expected operational early july,0.0,neutral
43,want national lockdown coronavirus continues progress uk pm say govt take measure insists want second national lockdown read http co oc er h lg http co nlcysrwbbn,4.0,positive
44,daily update published state reported k test k case death http co bqjpy w qf,-2.0,negative
45,indiafightscorona new recovery india exceeded new case consecutive day covid http co iwv eym hd,0.0,neutral
46,top state high active caseload also one presently reporting high level recovery http co howhfx wpe,3.0,positive
47,currently people managed isolation quarantine current effective capacity give u excess capacity next week projecting arrival departure facility,2.0,positive
48,school struggling cope lack covid test new infection increasing since became compulsory pupil return get child tested virus explainer,-6.0,negative
49,scientist astrazeneca complain work coronavirus vaccine keep delayed noddy holder ringing ask ready christmas http co lmyztnapx,-3.0,negative
50,mask help prevent spread covid widely used public wear mask help protect around others wear one help protect people around incl http co jkwwztfwss wearamask doyourpart worldmaskweek http co fckrf k,7.0,positive
51,new case covid nigeria lagos gombe plateau kwara enugu ogun katsina ekiti bauchi osun river confirmed discharged death http co enpey u xh,-2.0,negative
52,already coronavirus simple test http co pnbf rsff,0.0,neutral
53,rt mohfw india indiafightscorona high number sustained recovery india surge ahead highest single day recovery nearl,0.0,neutral
54,italy surrendered coronavirus pandemic measure control covid exhausted,-2.0,negative
55,president trump forced wear protective medical mask http co nrgtixvrtv donaldtrump coronavirus cia fbi iud,-1.0,negative
56,rt ellencutch coronavirus misinformation moving offline reddit user posted flyer site told u delive,-3.0,negative
57,orwell dead living bridge continued http co kl j vywwp government toiletpaper georgeorwell coronavirus,-3.0,negative
58,resident york asked think new government rule allows people england may covid fined fail self isolate read click http co pqd xgam http co qpgh xldio,-2.0,negative
59,central government given permission school open,0.0,neutral
60,today total icmrdelhi approved lab covid testing consist govt pvt lab http co j tavyickc covidtesting covid covid covid covid covid india covidupdates coronavirus coronaupdates coronavirusindia http co q iukceifx,2.0,positive
61,government come pressure lack availability covid test read http co lmm qgeryl http co kjwsiny,-3.0,negative
62,fewer kid dying since lockdown new white paper examines,-3.0,negative
63,million case covid reported almost death although country affected continue see intense transmission relatively small group country drtedros,-2.0,negative
64,justin trudeau resigns amidst coronavirus pandemic http co hkmcnbxsnb,-1.0,negative
65,george soros one people responsible new coronavirus born laboratory,2.0,positive
66,johnkin sensitivity test definitely something specialist talking seen real number also looked hard thing alexismadrigal,-1.0,negative
67,expert call claim cow dung urine yoga ayush prevent treat covid,-1.0,negative
68,main mode transmission novel coronavirus droplet possible infected smoker may blow droplet carrying virus exhale regardless covid steer clear second hand smoke may cause various health problem http co af bzrleve,-1.0,negative
69,article claiming bill gate vaccine would modify human dna,0.0,neutral
70,rt surgeon general dyk handwashing remains one best way prevent spread virus like covid thing,4.0,positive
71,according state health department haryana covid recoveryrate gurugram http co oz kcdajij covid covid covid coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates http co sp yrrrwj,0.0,neutral
72,daily update published sunday monday tend see number dip see today still k case rising hospitalization large jump death last sunday holiday number day average back http co hdqfxq oj,-2.0,negative
73,total number confirmed case covid number report world health organization,0.0,neutral
74,brazailian parliament went hospital take covid patient found empty,-1.0,negative
75,multiple post shared thousand time facebook twitter youtube claim salt effective remedy novel coronavirus,5.0,positive
76,un secretary general antonio guterres say covid pandemic dramatically derailed sustainable development goal put question progress made eradication poverty hunger latest world news http co cdn pokubf http co tfzpdffyrc,-1.0,negative
77,instagram post claiming covid test tainted coronavirus circulation many month,-2.0,negative
78,across state report tracked hospitalization bulk new york louisiana florida also growing number hospitalization,1.0,positive
79,philippine senator grace poe risa hontiveros silent coronavirus crisis vocal closure ab cbn,-2.0,negative
80,indiafightscorona india total recovery continue rise cross lakh today state contribute total case active case total fatality reported india staysafe indiawillwin http co krn goabnp,-1.0,negative
81,important consequence seeing covid syndemic underline social origin vulnerability older citizen black asian minority ethnic community key worker commonly poorly paid fewer welfare protection,-2.0,negative
82,rt covidnewsbymib indiafightscorona icmrdelhi scale covid testing capacity lakh test per day country tota,0.0,neutral
83,video show italian doctor say nobody died coronavirus italy dangerous flu,-7.0,negative
84,seasonal influenza vaccination mandatory georgia fall covid mortality rate significantly lower fatality caused virus,-4.0,negative
85,say case mt roskill evangelical fellowship group case bereavement sub cluster includes case whose source infection bereavement event,-2.0,negative
86,one new zealand receiving hospital level care covid yesterday laboratory completed test bringing total number test completed date covid covid nz covid,2.0,positive
87,pm th april breakdown case state lagos fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu river niger benue anambra borno jigawa,0.0,neutral
88,biggest change data number covid patient currently hospitalized addition florida k hospitalization seen number since first week may seem likely decline soon http co trvo ypkgf,-2.0,negative
89,coronavirusupdates covid india tracker september confirmed case recovered active case death indiafightscorona indiawillwin staysafe via mohfw india http co wvqslxqbpc,-1.0,negative
90,person coronavirus galicia,0.0,neutral
91,india tested lakh sample day covid enabled icmrdelhi commitment set laboratory expanding testing mechanism detail visit http co fqhg xrn icmrfightscovid indiafightscorona mohfw india http co rdkcvfbhus,2.0,positive
92,claim jordanian health minister say covid conspiracy video,-3.0,negative
93,pregnant woman covid higher rate premature birth http co g hscywgpr,0.0,neutral
94,solidarity trial also underway many country project complete controlling covid effectively easier due availability proper medicine vaccine etc control various infectious disease across world,1.0,positive
95,covid update new case covid report new zealand today day since last case covid acquired locally unknown source,0.0,neutral
96,compare number completed test reported new mexico state population time smaller california number even close yet http co tzb fzm fp,0.0,neutral
97,case community auckland based connected existing outbreak close contact case already reported new case household contact previously reported case still investigation gp mt wellington,-2.0,negative
98,precautionary message one catch fire due hand sanitizer high amount alcohol message also show hand lady applying sanitizer went near stove ended burning hand,-2.0,negative
99,brings new zealand total number active case managed isolation quarantine facility case community nz total number confirmed case covid number report,1.0,positive
100,say rudy giuliani bought share novartis primary supplier hydroxychloroquine early february,1.0,positive
101,student pondicherry university india found home remedy covid accepted world health organization,1.0,positive
